id	name	category
MESH:C022751	D-arabinitol dehydrogenase	biolink:ChemicalEntity
MESH:C021358	histidinol dehydrogenase	biolink:ChemicalEntity
MESH:C020830	glyoxylate reductase	biolink:ChemicalEntity
MESH:C022529	ribitol 2-dehydrogenase	biolink:ChemicalEntity
MESH:C021494	lactaldehyde reductase	biolink:ChemicalEntity
NCBIGene:18448449	LOC18448449	biolink:Gene
NCBIGene:42786431	ilvC	biolink:Gene
NCBIGene:96808471	KPP03845_RS39075	biolink:Gene
MESH:C107144	dTDP-4-dehydrorhamnose reductase	biolink:ChemicalEntity
NCBIGene:1023581	sorD	biolink:Gene
MESH:C023215	UDP-N-acetylmuramate dehydrogenase	biolink:ChemicalEntity
MESH:C052370	1,3-propanediol dehydrogenase	biolink:ChemicalEntity
NCBIGene:60822198	ispC	biolink:Gene
MESH:C020821	glycollate oxidase	biolink:ChemicalEntity
NCBIGene:47611	Gpo1	biolink:Gene
MESH:C033955	glucose dehydrogenase (pyrroloquinoline-quinone)	biolink:ChemicalEntity
NCBIGene:905790	fdhB	biolink:Gene
MESH:D000444	Aldehyde Dehydrogenase	biolink:ChemicalEntity
MESH:C018722	N-acetyl-gamma-glutamyl-phosphate reductase	biolink:ChemicalEntity
MESH:C053855	phenylacetaldehyde dehydrogenase	biolink:ChemicalEntity
MESH:D024601	Glyceraldehyde 3-Phosphate Dehydrogenase (NADP+)	biolink:ChemicalEntity
RHEA:15681	2-hydroxy-5-carboxymethylmuconate semialdehyde + NAD(+) + H2O = (2E,4Z)-5-hydroxypenta-2,4-diene-1,2,5-tricarboxylate + NADH + 2 H(+)	biolink:MolecularActivity
NCBIGene:33357171	odpB	biolink:Gene
NCBIGene:75832662	J7T54_006184	biolink:Gene
NCBIGene:1445027	APE_RS03435	biolink:Gene
NCBIGene:66059834	Bm4703	biolink:Gene
NCBIGene:886378	frdB	biolink:Gene
NCBIGene:97477523	ACFFU8_RS06845	biolink:Gene
NCBIGene:1027357	frdD	biolink:Gene
NCBIGene:103468345	gcdh	biolink:Gene
NCBIGene:29451577	ald	biolink:Gene
NCBIGene:69530466	LMD38_RS06250	biolink:Gene
NCBIGene:110879575	LOC110879575	biolink:Gene
UMLS:C0311663	D-arginine dehydrogenase	biolink:ChemicalEntity
NCBIGene:57660747	HX881_RS12330	biolink:Gene
MESH:C022646	spermidine dehydrogenase	biolink:ChemicalEntity
NCBIGene:2892706	KLLA0_D16962g	biolink:Gene
MESH:D009250	NADP Transhydrogenases	biolink:ChemicalEntity
NCBIGene:92827529	I6G45_RS04670	biolink:Gene
NCBIGene:56448446	OH82_RS05700	biolink:Gene
NCBIGene:19156546	A1O1_01644	biolink:Gene
MESH:D016660	NAD(P)H Dehydrogenase (Quinone)	biolink:ChemicalEntity
NCBIGene:95770705	ATL51_RS23365	biolink:Gene
NCBIGene:103320565	LOC103320565	biolink:Gene
NCBIGene:36551402	P170DRAFT_348837	biolink:Gene
MESH:C020055	3,4-dihydroxyphenylacetate 2,3-dioxygenase	biolink:ChemicalEntity
MESH:D015111	4-Hydroxyphenylpyruvate Dioxygenase	biolink:ChemicalEntity
NCBIGene:126810107	LOC126810107	biolink:Gene
NCBIGene:80098729	QE322_gp124	biolink:Gene
UMLS:C1100268	arsenate reductase (glutaredoxin)	biolink:ChemicalEntity
NCBIGene:88182861	CNBG_9633	biolink:Gene
RHEA:47032	uridine(34) in tRNA + S-sulfanyl-L-cysteinyl-[protein] + AH2 + ATP = 2-thiouridine(34) in tRNA + L-cysteinyl-[protein] + A + AMP + diphosphate + H(+)	biolink:MolecularActivity
NCBIGene:20311094	HMPREF1120_06455	biolink:Gene
NCBIGene:34309445	CNE_RS11120	biolink:Gene
NCBIGene:68612683	LIX15_RS07320	biolink:Gene
MESH:D009954	Ornithine Carbamoyltransferase	biolink:ChemicalEntity
UMLS:C0524994	Carbamoyltransferases	biolink:ChemicalEntity
MESH:D010709	Phosphate Acetyltransferase	biolink:ChemicalEntity
NCBIGene:66104892	BT62DRAFT_879577	biolink:Gene
MESH:C019522	phosphate butyryltransferase	biolink:ChemicalEntity
NCBIGene:128378282	gcat	biolink:Gene
NCBIGene:55971405	GMORB2_5177	biolink:Gene
NCBIGene:1208377	fabH	biolink:Gene
MESH:C287333	diamine N-acetyltransferase	biolink:ChemicalEntity
NCBIGene:93490609	astA	biolink:Gene
MESH:C025901	sucrose phosphorylase	biolink:ChemicalEntity
MESH:C028634	cellulose synthase (UDP-forming)	biolink:ChemicalEntity
NCBIGene:29989243	TGAM01_v200209	biolink:Gene
